Sample,Target,Cq,Replicate
Control,ACTB,20.28,R1
Control,ACTB,20.40,R1
Control,ACTB,20.52,R1
Control,TBP,21.18,R1
Control,TBP,21.30,R1
Control,TBP,21.42,R1
Control,Target_Stable,26.05,R1
Control,Target_Stable,26.17,R1
Control,Target_Stable,26.29,R1
Control,Target_Induced_A,28.05,R1
Control,Target_Induced_A,28.17,R1
Control,Target_Induced_A,28.29,R1
Control,Target_Repressed_B,26.55,R1
Control,Target_Repressed_B,26.67,R1
Control,Target_Repressed_B,26.79,R1
Control,Target_Graded,28.55,R1
Control,Target_Graded,28.67,R1
Control,Target_Graded,28.79,R1
Control,Target_TechCensor,29.05,R1
Control,Target_TechCensor,29.17,R1
Control,Target_TechCensor,29.29,R1
Control,Target_BioCensor,29.55,R1
Control,Target_BioCensor,29.67,R1
Control,Target_BioCensor,29.79,R1
Control,Target_ReferenceCensor,30.05,R1
Control,Target_ReferenceCensor,30.17,R1
Control,Target_ReferenceCensor,30.29,R1
Control,Target_SampleAbsent,30.55,R1
Control,Target_SampleAbsent,30.67,R1
Control,Target_SampleAbsent,30.79,R1
Control,Target_TwoSamplesAbsent,31.05,R1
Control,Target_TwoSamplesAbsent,31.17,R1
Control,Target_TwoSamplesAbsent,31.29,R1
Control,Target_AllAbsent,Undetermined,R1
Control,Target_AllAbsent,Undetermined,R1
Control,Target_AllAbsent,Undetermined,R1
Control,Target_HighCq,38.50,R1
Control,Target_HighCq,38.62,R1
Control,Target_HighCq,38.74,R1
Treatment_A,ACTB,20.58,R1
Treatment_A,ACTB,20.70,R1
Treatment_A,ACTB,20.82,R1
Treatment_A,TBP,21.48,R1
Treatment_A,TBP,21.60,R1
Treatment_A,TBP,21.72,R1
Treatment_A,Target_Stable,26.35,R1
Treatment_A,Target_Stable,26.47,R1
Treatment_A,Target_Stable,26.59,R1
Treatment_A,Target_Induced_A,25.35,R1
Treatment_A,Target_Induced_A,25.47,R1
Treatment_A,Target_Induced_A,25.59,R1
Treatment_A,Target_Repressed_B,26.85,R1
Treatment_A,Target_Repressed_B,26.97,R1
Treatment_A,Target_Repressed_B,27.09,R1
Treatment_A,Target_Graded,27.85,R1
Treatment_A,Target_Graded,27.97,R1
Treatment_A,Target_Graded,28.09,R1
Treatment_A,Target_TechCensor,29.35,R1
Treatment_A,Target_TechCensor,29.47,R1
Treatment_A,Target_TechCensor,29.59,R1
Treatment_A,Target_BioCensor,29.85,R1
Treatment_A,Target_BioCensor,29.97,R1
Treatment_A,Target_BioCensor,30.09,R1
Treatment_A,Target_ReferenceCensor,30.35,R1
Treatment_A,Target_ReferenceCensor,30.47,R1
Treatment_A,Target_ReferenceCensor,30.59,R1
Treatment_A,Target_SampleAbsent,30.85,R1
Treatment_A,Target_SampleAbsent,30.97,R1
Treatment_A,Target_SampleAbsent,31.09,R1
Treatment_A,Target_TwoSamplesAbsent,31.35,R1
Treatment_A,Target_TwoSamplesAbsent,31.47,R1
Treatment_A,Target_TwoSamplesAbsent,31.59,R1
Treatment_A,Target_AllAbsent,Undetermined,R1
Treatment_A,Target_AllAbsent,Undetermined,R1
Treatment_A,Target_AllAbsent,Undetermined,R1
Treatment_A,Target_HighCq,38.80,R1
Treatment_A,Target_HighCq,38.92,R1
Treatment_A,Target_HighCq,39.04,R1
Treatment_B,ACTB,20.08,R1
Treatment_B,ACTB,20.20,R1
Treatment_B,ACTB,20.32,R1
Treatment_B,TBP,20.98,R1
Treatment_B,TBP,21.10,R1
Treatment_B,TBP,21.22,R1
Treatment_B,Target_Stable,25.85,R1
Treatment_B,Target_Stable,25.97,R1
Treatment_B,Target_Stable,26.09,R1
Treatment_B,Target_Induced_A,27.85,R1
Treatment_B,Target_Induced_A,27.97,R1
Treatment_B,Target_Induced_A,28.09,R1
Treatment_B,Target_Repressed_B,29.35,R1
Treatment_B,Target_Repressed_B,29.47,R1
Treatment_B,Target_Repressed_B,29.59,R1
Treatment_B,Target_Graded,26.35,R1
Treatment_B,Target_Graded,26.47,R1
Treatment_B,Target_Graded,26.59,R1
Treatment_B,Target_TechCensor,28.85,R1
Treatment_B,Target_TechCensor,28.97,R1
Treatment_B,Target_TechCensor,29.09,R1
Treatment_B,Target_BioCensor,29.35,R1
Treatment_B,Target_BioCensor,29.47,R1
Treatment_B,Target_BioCensor,29.59,R1
Treatment_B,Target_ReferenceCensor,29.85,R1
Treatment_B,Target_ReferenceCensor,29.97,R1
Treatment_B,Target_ReferenceCensor,30.09,R1
Treatment_B,Target_SampleAbsent,30.35,R1
Treatment_B,Target_SampleAbsent,30.47,R1
Treatment_B,Target_SampleAbsent,30.59,R1
Treatment_B,Target_TwoSamplesAbsent,No Ct,R1
Treatment_B,Target_TwoSamplesAbsent,No Ct,R1
Treatment_B,Target_TwoSamplesAbsent,No Ct,R1
Treatment_B,Target_AllAbsent,Undetermined,R1
Treatment_B,Target_AllAbsent,Undetermined,R1
Treatment_B,Target_AllAbsent,Undetermined,R1
Treatment_B,Target_HighCq,38.30,R1
Treatment_B,Target_HighCq,38.42,R1
Treatment_B,Target_HighCq,38.54,R1
Treatment_C,ACTB,20.43,R1
Treatment_C,ACTB,20.55,R1
Treatment_C,ACTB,20.67,R1
Treatment_C,TBP,21.33,R1
Treatment_C,TBP,21.45,R1
Treatment_C,TBP,21.57,R1
Treatment_C,Target_Stable,26.20,R1
Treatment_C,Target_Stable,26.32,R1
Treatment_C,Target_Stable,26.44,R1
Treatment_C,Target_Induced_A,28.20,R1
Treatment_C,Target_Induced_A,28.32,R1
Treatment_C,Target_Induced_A,28.44,R1
Treatment_C,Target_Repressed_B,26.70,R1
Treatment_C,Target_Repressed_B,26.82,R1
Treatment_C,Target_Repressed_B,26.94,R1
Treatment_C,Target_Graded,25.70,R1
Treatment_C,Target_Graded,25.82,R1
Treatment_C,Target_Graded,25.94,R1
Treatment_C,Target_TechCensor,29.20,R1
Treatment_C,Target_TechCensor,29.32,R1
Treatment_C,Target_TechCensor,29.44,R1
Treatment_C,Target_BioCensor,29.70,R1
Treatment_C,Target_BioCensor,29.82,R1
Treatment_C,Target_BioCensor,29.94,R1
Treatment_C,Target_ReferenceCensor,30.20,R1
Treatment_C,Target_ReferenceCensor,30.32,R1
Treatment_C,Target_ReferenceCensor,30.44,R1
Treatment_C,Target_SampleAbsent,Undetermined,R1
Treatment_C,Target_SampleAbsent,Undetermined,R1
Treatment_C,Target_SampleAbsent,Undetermined,R1
Treatment_C,Target_TwoSamplesAbsent,No Ct,R1
Treatment_C,Target_TwoSamplesAbsent,No Ct,R1
Treatment_C,Target_TwoSamplesAbsent,No Ct,R1
Treatment_C,Target_AllAbsent,Undetermined,R1
Treatment_C,Target_AllAbsent,Undetermined,R1
Treatment_C,Target_AllAbsent,Undetermined,R1
Treatment_C,Target_HighCq,38.65,R1
Treatment_C,Target_HighCq,38.77,R1
Treatment_C,Target_HighCq,38.89,R1
Control,ACTB,20.53,R2
Control,ACTB,20.65,R2
Control,ACTB,20.77,R2
Control,TBP,21.43,R2
Control,TBP,21.55,R2
Control,TBP,21.67,R2
Control,Target_Stable,26.56,R2
Control,Target_Stable,26.68,R2
Control,Target_Stable,26.80,R2
Control,Target_Induced_A,28.56,R2
Control,Target_Induced_A,28.68,R2
Control,Target_Induced_A,28.80,R2
Control,Target_Repressed_B,27.06,R2
Control,Target_Repressed_B,27.18,R2
Control,Target_Repressed_B,27.30,R2
Control,Target_Graded,29.06,R2
Control,Target_Graded,29.18,R2
Control,Target_Graded,29.30,R2
Control,Target_TechCensor,29.56,R2
Control,Target_TechCensor,29.68,R2
Control,Target_TechCensor,29.80,R2
Control,Target_BioCensor,30.06,R2
Control,Target_BioCensor,30.18,R2
Control,Target_BioCensor,30.30,R2
Control,Target_ReferenceCensor,30.56,R2
Control,Target_ReferenceCensor,30.68,R2
Control,Target_ReferenceCensor,30.80,R2
Control,Target_SampleAbsent,31.06,R2
Control,Target_SampleAbsent,31.18,R2
Control,Target_SampleAbsent,31.30,R2
Control,Target_TwoSamplesAbsent,31.56,R2
Control,Target_TwoSamplesAbsent,31.68,R2
Control,Target_TwoSamplesAbsent,31.80,R2
Control,Target_AllAbsent,Undetermined,R2
Control,Target_AllAbsent,Undetermined,R2
