Sample,Gene,CT
CA1,U6,25.70497513
CA1,U6,25.66868591
CA1,miR21,27.73176956
CA1,miR21,27.62772751
CA1,miR23,33.87746429
CA1,miR23,34.49275208
CA1,miR26b,28.48959732
CA1,miR26b,28.61164474
CA1,miR93,28.23086166
CA1,miR93,28.38907814
LM,U6,24.51889038
LM,U6,24.72639084
LM,miR21,27.58828735
LM,miR21,27.55909538
LM,miR23,34.98627853
LM,miR23,33.52737427
LM,miR26b,28.68837929
LM,miR26b,28.67416763
LM,miR93,27.70004272
LM,miR93,27.62017822
LUC4,U6,24.7919178
LUC4,U6,24.95090866
LUC4,miR21,26.83224487
LUC4,miR21,26.92942047
LUC4,miR23,33.0389328
LUC4,miR23,33.75720596
LUC4,miR26b,28.18764496
LUC4,miR26b,28.14198303
LUC4,miR93,28.18206024
LUC4,miR93,27.95533752
SCC4,U6,24.64522934
SCC4,U6,24.66981506
SCC4,miR21,25.93750763
SCC4,miR21,25.94412994
SCC4,miR23,35.16261292
SCC4,miR23,35.582901
SCC4,miR26b,28.04525185
SCC4,miR26b,28.07978821
SCC4,miR93,25.73906326
SCC4,miR93,25.89797592
SCC9,U6,24.79451561
SCC9,U6,24.9366951
SCC9,miR21,25.46205139
SCC9,miR21,25.53635216
SCC9,miR23,35.98059845
SCC9,miR23,34.43659973
SCC9,miR26b,27.96477509
SCC9,miR26b,27.96387482
SCC9,miR93,28.49823189
SCC9,miR93,28.42830849
SCC15,U6,24.49889946
SCC15,U6,24.4293232
SCC15,miR21,24.91807747
SCC15,miR21,24.82802773
SCC15,miR23,34.62650681
SCC15,miR23,34.44884872
SCC15,miR26b,28.13692284
SCC15,miR26b,28.06270599
SCC15,miR93,28.5892067
SCC15,miR93,28.80343246
SCC25,U6,24.96107864
SCC25,U6,24.68847084
SCC25,miR21,26.38010216
SCC25,miR21,26.23752975
SCC25,miR23,33.36826324
SCC25,miR23,33.07919693
SCC25,miR26b,28.34052467
SCC25,miR26b,28.33389854
SCC25,miR93,28.20383453
SCC25,miR93,28.08726501
